,timestamp,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,machine_status
1,01-04-2018 00:00,47.09201,53.2118,46.31076,634.375,76.45975,13.41146,16.13136,15.56713,15.05353,37.2274,NORMAL
2,01-04-2018 00:15,48.3941,53.125,46.39757,642.3611,78.13193,13.35359,16.21094,15.45139,15.12587,43.12774,NORMAL
3,01-04-2018 00:30,47.91666,53.12499619,46.22395706,618.75,75.64877,13.23061,16.12413,15.76968,15.08247,45.93287,NORMAL
4,01-04-2018 00:45,49.08854,53.03819,46.09375,638.7732,73.93829,13.38252,16.21094,15.65393,15.11863,40.53074,NORMAL
5,01-04-2018 01:00,49.08854,53.12499619,46.00694275,626.6204,73.981,13.49826,16.16753,15.65393,15.11863,41.47252,NORMAL
6,01-04-2018 01:15,47.69965,53.125,45.96354,640.2778,71.52058,13.64294,16.21094,15.81308,15.11863,41.51844,NORMAL
7,01-04-2018 01:30,47.26563,53.125,45.96353912,624.3055,77.7133,13.614,16.13136,15.84925,15.08247,37.44254,NORMAL
8,01-04-2018 01:45,48.4375,53.03819,45.96354,639.3518,72.8404,13.5923,16.21094,15.76968,15.09693,42.6238,NORMAL
9,01-04-2018 02:00,48.78472,52.99479,45.83333206,629.9768,73.51723,13.68634,16.16753,15.52373,15.08247,42.18901,NORMAL
10,01-04-2018 02:15,48.87152,52.99479,45.78992844,641.2037,78.01218,13.67911,16.16753,15.58883,15.08247,42.8988,NORMAL
11,01-04-2018 02:30,49.43576,52.99479,45.61631775,635.9954,71.54809,13.59954,16.12413,15.84925,15.0897,40.45971,NORMAL
12,01-04-2018 02:45,48.26389,53.03819,45.3993,650.463,78.54942,13.56337,16.21094,15.56713,15.05353,38.0256,NORMAL
13,01-04-2018 03:00,49.13194,52.95139,45.3125,634.375,70.08943,13.59954,16.21094,15.69734,15.05353,41.67967,NORMAL
14,01-04-2018 03:15,48.87152,52.90799,45.22569275,626.2731,72.07859,13.62847,16.16753,15.61777,15.08247,40.35469,NORMAL
16,01-04-2018 03:30,48.56771,52.90799,45.22569275,631.1343,75.11013,13.65017,16.16753,15.53096,15.05353,39.52111,NORMAL
17,01-04-2018 03:45,48.65451,52.95139,45.18228912,637.3843,71.77249,13.56337,16.12413,15.81308,15.01013,38.13408,NORMAL
18,01-04-2018 04:00,48.78472,52.90798569,45.18228912,646.0648,71.63472,13.67911,16.13136,15.56713,15.11863,39.95102,NORMAL
19,01-04-2018 04:15,48.91493,52.90799,45.09548569,641.7824,69.63532,13.5923,16.13136,15.56713,15.0897,40.46565,NORMAL
20,01-04-2018 04:30,48.56771,52.82118,45.09548569,626.6204,71.74254,13.5272,16.12413,15.73351,15.11863,38.29825,NORMAL
21,01-04-2018 04:45,48.17708,52.90798569,45.13889,636.1111,69.84055,13.5923,16.16753,15.49479,15.05353,37.77408,NORMAL
22,01-04-2018 05:00,48.35069,52.82118,45.3125,645.0231,72.06581,13.5923,16.24711,15.65393,15.0897,38.87561,NORMAL
23,01-04-2018 05:15,46.65799,52.77777,45.39930344,630.0926,73.19348,13.614,16.13136,15.65393,15.11863,36.01675,NORMAL
24,01-04-2018 05:30,47.56944,52.73437,45.3993,630.3241,72.47937,13.5923,16.16753,15.81308,15.08247,37.21352,NORMAL
25,01-04-2018 05:45,46.26736,52.77777,45.35589981,629.7454,76.24946,13.614,16.16753,15.70457,15.08247,36.98111,NORMAL
26,01-04-2018 06:00,46.74479,52.73437,45.22569,639.4676,72.83251,13.46933,16.0735,15.65393,15.08247,37.94016,NORMAL
27,01-04-2018 06:15,47.61285,52.73437,45.13889,624.7685,73.4533,13.614,16.2037,15.65393,15.08247,36.76176,NORMAL
28,01-04-2018 06:30,46.74479,52.69097,44.921875,630.0925,75.17675,13.5923,16.12413,15.33565,15.11863,38.39041,NORMAL
29,01-04-2018 06:45,47.39583,52.51736,44.96527481,633.3334,75.58148,13.5923,16.1603,15.61777,15.08247,39.62767,NORMAL
31,01-04-2018 07:00,47.61285,52.51736,45.00867844,631.0186,74.57088,13.62847,16.06626,15.90712,15.05353,41.16973,NORMAL
32,01-04-2018 07:15,47.26563,52.51736,45.09548569,638.8889,71.46176,13.70804,16.13136,15.65393,15.05353,37.38462,NORMAL
33,01-04-2018 07:30,47.09201,52.51736069,45.1388855,639.5834,73.30408,13.70804,16.16753,15.45139,15.11863,37.74191,NORMAL
34,01-04-2018 07:45,46.70139,52.47396,44.96527,623.4954,71.73313,13.49826,16.16753,15.74074,15.08247,37.54963,NORMAL
35,01-04-2018 08:00,47.17882,52.51736,44.57465,632.6389,76.61579,13.41146,16.12413,15.65393,15.08247,38.99519,NORMAL
